,Ticker,Entry Time,Entry Price,Exit Time,Exit Price
1,BANKNIFTY09JUL2022800PE,08-07-2020 09:29,163.5,08-07-2020 13:15,301
2,BANKNIFTY09JUL2022700CE,09-07-2020 09:29,162.5,09-07-2020 10:34,166.75
3,BANKNIFTY09JUL2022700PE,09-07-2020 09:29,110.55,09-07-2020 10:34,147
4,BANKNIFTY16JUL2022700CE,10-07-2020 09:29,295.1,10-07-2020 15:24,437.55
5,BANKNIFTY16JUL2022700PE,10-07-2020 09:29,555.2,10-07-2020 15:24,403.15
6,BANKNIFTY16JUL2022600CE,13-07-2020 09:29,229.35,13-07-2020 11:11,370.55
7,BANKNIFTY16JUL2022600PE,13-07-2020 09:29,590.85,13-07-2020 11:11,356.5
8,BANKNIFTY16JUL2021800CE,14-07-2020 09:29,224.35,14-07-2020 10:56,314.65
9,BANKNIFTY16JUL2021800PE,14-07-2020 09:29,513.65,14-07-2020 10:56,328.55
10,BANKNIFTY16JUL2021600CE,15-07-2020 09:29,329.25,15-07-2020 12:03,265.65
11,BANKNIFTY16JUL2021600PE,15-07-2020 09:29,173.3,15-07-2020 12:03,298.3
12,BANKNIFTY16JUL2021100CE,16-07-2020 09:29,244.95,16-07-2020 09:48,135.8
13,BANKNIFTY16JUL2021100PE,16-07-2020 09:29,72.6,16-07-2020 09:48,148.95
14,BANKNIFTY23JUL2021700CE,17-07-2020 09:29,582.75,17-07-2020 15:24,447.65
15,BANKNIFTY23JUL2021700PE,17-07-2020 09:29,246.3,17-07-2020 15:24,406.45
16,BANKNIFTY23JUL2022300CE,20-07-2020 09:29,306.65,20-07-2020 13:33,412
17,BANKNIFTY23JUL2022300PE,20-07-2020 09:29,388.3,20-07-2020 13:33,363.3
18,BANKNIFTY23JUL2022600CE,21-07-2020 09:29,388.95,21-07-2020 15:24,346.15
19,BANKNIFTY23JUL2022600PE,21-07-2020 09:29,195.5,21-07-2020 15:24,294
20,BANKNIFTY23JUL2022900CE,22-07-2020 09:29,171.1,22-07-2020 09:36,231.5
21,BANKNIFTY23JUL2022900PE,22-07-2020 09:29,394.15,22-07-2020 09:36,278.75
22,BANKNIFTY23JUL2022800CE,23-07-2020 09:29,132.85,23-07-2020 09:54,169.75
23,BANKNIFTY23JUL2022800PE,23-07-2020 09:29,127.25,23-07-2020 09:54,123
24,BANKNIFTY30JUL2022700CE,24-07-2020 09:29,353.15,24-07-2020 15:24,426.35
25,BANKNIFTY30JUL2022700PE,24-07-2020 09:29,435.05,24-07-2020 15:24,410
26,BANKNIFTY30JUL2022200CE,27-07-2020 09:29,204.7,27-07-2020 15:24,359.85
27,BANKNIFTY30JUL2022200PE,27-07-2020 09:29,550.65,27-07-2020 15:24,360.05
